Id,Merchant Name,Merchant State,Program Area,Transaction Date,Payment Date,Transaction Amount,Item Description,Purchase Amount,Purchase Type,Annual Bid Number,Reference Number,Allocation Id
292630,THE HOME DEPOT #1505,CO,PUBLIC WORKS - PWOPS,12/3/2016,1/9/2017,46.62,Wood and screws 1505 00003 41115,Home Supply Warehouse Stores,ANNUAL BID,5933U0114,1413427533000311552516120500564800000000824177    ,2
292631,THE HOME DEPOT #1532,CO,FIRE DEPARTMENT - FIRES,12/5/2016,1/9/2017,154.13,wood,Home Supply Warehouse Stores,PCARD,,1413427533800032649016120700921200000000932323    ,1
292632,"FAISON OFFICE PRODUCTS,",CO,SHERIFF DEPARTMENT - SHERF,12/8/2016,1/9/2017,331.6,women's pads with wings DDC,"Office, School Supply, and Stationery Stores",ANNUAL BID,5954L0116,1413427533000284992616120901288600000002317066    ,1
292633,WESTERN PAPER DISTRIBUTOR,CO,SHERIFF DEPARTMENT - SHERF,11/29/2016,1/9/2017,1346.92,"women's maxi pads, bar soap COJL","Cleaning, Maintenance, and Janitorial Services",PCARD,,1413427533000266259216120100055600000000415313    ,1
292634,"FAISON OFFICE PRODUCTS,",CO,SHERIFF DEPARTMENT - SHERF,11/27/2016,1/9/2017,615.92,women's maxi pads COJL,"Office, School Supply, and Stationery Stores",ANNUAL BID,5954L0116,1413427533000266258416112803951200000001323475    ,1
292635,"FAISON OFFICE PRODUCTS,",CO,SHERIFF DEPARTMENT - SHERF,12/8/2016,1/9/2017,846.89,womens maxi pads COJL,"Office, School Supply, and Stationery Stores",ANNUAL BID,5954L0116,1413427533000266258416120901288600000002316972    ,1
292636,"FAISON OFFICE PRODUCTS,",CO,SHERIFF DEPARTMENT - SHERF,12/15/2016,1/9/2017,615.92,womens maxi pads COJL,"Office, School Supply, and Stationery Stores",ANNUAL BID,5954L0116,1413427533000266258416121602343600000002230470    ,1
292637,"FAISON OFFICE PRODUCTS,",CO,SHERIFF DEPARTMENT - SHERF,12/15/2016,1/9/2017,923.88,womens maxi pads,"Office, School Supply, and Stationery Stores",ANNUAL BID,5954L0116,1413427533000266258416121602343600000002230466    ,1
292638,AIR PURIFICATION COMPANY,CO,GENERAL SERVICE ADMIN - GSFPM,12/16/2016,1/9/2017,204,WO#796016 MOTOR ASSEMBLY,"Heating, Plumbing, and Air Conditioning Contractors",PCARD,,1413427533000240740216121802512700000001322137    ,1
292639,MOUNTAIN SALES & SERVICE-,CO,GENERAL SERVICE ADMIN - GSFPM,12/12/2016,1/9/2017,238.6,WO#794073 Motor Fan,Plumbing and Heating Equipment and Supplies,PCARD,,1413427533000324820116121502163300000000278633    ,1
292640,THE HOME DEPOT #1505,CO,GENERAL SERVICE ADMIN - GSFPM,12/8/2016,1/9/2017,99.96,WO#793646 Garbage Disposal,Home Supply Warehouse Stores,ANNUAL BID,5933U0114,1413427533000240760016121101461500000000678158    ,1
292641,CHARLES D JONES/DENVER,CO,GENERAL SERVICE ADMIN - GSFPM,12/6/2016,1/9/2017,217.55,WO#793424 CO Detector,Plumbing and Heating Equipment and Supplies,PCARD,,1413427533000240736016120700921200000001364885    ,2
292642,"IN  MATHIAS LOCK & KEY, I",CO,GENERAL SERVICE ADMIN - GSFPM,11/30/2016,1/9/2017,75,WO#792356 Box of Key Blanks,OTHER SERVICES (NOT ELSEWHERE CLASSIFIED),PCARD,,DEF1633613864022                                  ,1
292643,GAS EQUIPMENT COMPANY,CO,GENERAL SERVICE ADMIN - GSFPM,12/1/2016,1/9/2017,113.7,WO#792300 Vent limiter abd Regulator,Plumbing and Heating Equipment and Supplies,PCARD,,1413427533000247531816120200234900000002081614    ,2
292644,WW GRAINGER,PA,GENERAL SERVICE ADMIN - GSFPM,12/2/2016,1/9/2017,12.96,WO#792222 Exhaust Fan,Industrial Supplies - Not Elsewhere Classified,PCARD,,1413427533000240740216120400407900000000391193    ,1
292645,INTERMOUNTAIN LOCK AND SE,CO,GENERAL SERVICE ADMIN - GSFPM,11/30/2016,1/9/2017,67,WO#792113 Keys,"Hardware, Equipment and Supplies",PCARD,,1413427533000324820116120200234900000000426222    ,1
292646,WW GRAINGER,PA,GENERAL SERVICE ADMIN - GSFPM,11/29/2016,1/9/2017,182.7,WO#792020 Motor for a Unit Heater,Industrial Supplies - Not Elsewhere Classified,PCARD,,1413427533000247531816113004302500000001850099    ,2
292647,CHARLES D JONES/DENVER,CO,GENERAL SERVICE ADMIN - GSFPM,11/30/2016,1/9/2017,29.61,WO#792020 30amp Comfactor,Plumbing and Heating Equipment and Supplies,PCARD,,1413427533000247531816120100055600000001374147    ,1
292648,LONG BLDG. TECHNOLOGIES,CO,GENERAL SERVICE ADMIN - GSFPM,12/20/2016,1/9/2017,182.2,WO#791975 Sensors,Plumbing and Heating Equipment and Supplies,PCARD,,1413427533000240736016122103028900000001505437    ,1
292649,CHARLES D JONES/DENVER,CO,GENERAL SERVICE ADMIN - GSFPM,12/12/2016,1/9/2017,47.37,WO#785048 Parts for building pressure,Plumbing and Heating Equipment and Supplies,PCARD,,1413427533000240736016121401979600000000007461    ,2
292650,CHARLES D JONES/DENVER,CO,GENERAL SERVICE ADMIN - GSFPM,12/21/2016,1/9/2017,110.4,WO#784074 automations,Plumbing and Heating Equipment and Supplies,PCARD,,1413427533000240736016122303395900000000010045    ,1
292651,DIRES LOCK AND KEY CO INC,CO,GENERAL SERVICE ADMIN - GSFPM,11/29/2016,1/9/2017,19,WO#778909 Light Replacement,Business Services - Not Elsewhere Classified,PCARD,,DEF1633513770834                                  ,1
292652,FLINK SUPPLY COMPANY LLC,CO,GENERAL SERVICE ADMIN - GSFPM,12/6/2016,1/9/2017,125.29,WO# 793415 Valve and Breaker,"Heating, Plumbing, and Air Conditioning Contractors",PCARD,,1413427533000264497016120700921200000001141084    ,1
292653,INTERMOUNTAIN LOCK AND SE,CO,GENERAL SERVICE ADMIN - GSFPM,11/28/2016,1/9/2017,238.8,WO# 791448 Bolt Kit for Double Doors,"Hardware, Equipment and Supplies",PCARD,,1413427533000240737816113004302500000000412279    ,1
292654,"EAP GLASS SERVICE, LLC",CO,GENERAL SERVICE ADMIN - GSFPM,12/2/2016,1/9/2017,81,WO# 790774 Clear Acrylic,Miscellaneous and Specialty Retail Stores,ANNUAL BID,5933U0114,1413427533000244550116120500564800000000928349    ,1
292655,RISE BROADBAND 200,CO,THEATERS AND ARENAS - THTRS,11/27/2016,1/9/2017,86.9,wireless service and equipment for Red Rocks box office,"Cable, Satellite, Other Pay Television & Radio Services",PCARD,,1413427533800026797516112803951200000000667486    ,1
292656,STAPLS7166785621000001,TX,FIRE DEPARTMENT - FIRES,11/30/2016,1/9/2017,229.74,wireless presenters,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533800032649016120100055600000001614076    ,1
292657,STAPLES DIRECT,MA,ENVIRONMENTAL HEALTH - ENVHL,12/15/2016,1/9/2017,289.83,Wireless mouses for CH staff,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5595N0116,1413427533000319957816121602343600000001697592    ,1
292658,"FAISON OFFICE PRODUCTS,",CO,SHERIFF DEPARTMENT - SHERF,12/3/2016,1/9/2017,182.93,"wireless mouse, flash drives","Office, School Supply, and Stationery Stores",ANNUAL BID,5595N0116,1413427533000267693116120400485700000001783622    ,3
292659,STAPLS7167700130000003,TX,PARKS AND REC - PARKS,12/16/2016,1/9/2017,17.59,Wireless mouse,"Stationery, Office Supplies, Printing and Writing Paper",ANNUAL BID,5954L0116,1413427533800043362716121802512700000001786654    ,1
292660,STAPLS7167088395000001,TX,DIV OF WORKFORCE DEVEL - MOOET,12/3/2016,1/9/2017,196.95,Wireless Headset - Andrea Morgan,"Stationery, Office Supplies, Printing and Writing Paper",PCARD,,1413427533000272768416120500564800000000055370    ,5
292661,AMAZON MKTPLACE PMTS,WA,CAREER SERVICE AUTH. - CSAHR,12/2/2016,1/9/2017,62.74,Wireless display receiver for Public Works,Book Stores,PCARD,,1413427533000300864716120200234900000002083187    ,1
292662,GIH GLOBALINDUSTRIALEQ,FL,WASTEWATER - PWWMD,12/3/2016,1/9/2017,410.68,Wireless Camera System,Industrial Supplies - Not Elsewhere Classified,PCARD,,DEF1634014973991                                  ,1
292663,WW GRAINGER,PA,PUBLIC WORKS - PWOPS,11/29/2016,1/9/2017,109.54,WIRE MARKING TAPE           INV 9290958918,Industrial Supplies - Not Elsewhere Classified,ANNUAL BID,5836S0106,1413427533000311551716113004302500000001849464    ,1
292664,1872 CED,CO,WASTEWATER - PWWMD,12/22/2016,1/9/2017,66.76,"wire clips, self drilling screws, plastic screw anchor",Electrical Parts and Equipment,PCARD,,1413427533000240522416122303395900000001155943    ,1
292665,WESTERN INTERIOR DENVER,CO,WASTEWATER - PWWMD,12/22/2016,1/9/2017,60,"Wire Clips, pins 12 guage",Construction Materials - Not Elsewhere Classified,PCARD,,1413427533000240522416122303395900000001512867    ,1
292666,STAR INDUSTRIAL SUPPLIES,CO,FIRE DEPARTMENT - FIRES,12/20/2016,1/9/2017,477,wiping rags,Industrial Supplies - Not Elsewhere Classified,PCARD,,1413427533000240582816122103028900000001386216    ,1
292667,STAPLS7166980400000001,TX,DEPT OF FINANCE - TREAS,12/2/2016,1/9/2017,54.55,Wipes and Kleenex,"Stationery, Office Supplies, Printing and Writing Paper",PCARD,,1413427533000267330016120400407900000001768496    ,1
292668,"FAISON OFFICE PRODUCTS,",CO,WASTEWATER - PWWMD,12/15/2016,1/9/2017,302.4,Wipers Pop-Up,"Office, School Supply, and Stationery Stores",ANNUAL BID,5595N0116,1413427533000240524016121602343600000002230376    ,7
292669,"FAISON OFFICE PRODUCTS,",CO,WASTEWATER - PWWMD,12/15/2016,1/9/2017,378,Wipers Pop-Up,"Office, School Supply, and Stationery Stores",ANNUAL BID,5595N0116,1413427533000240524016121602343600000002230380    ,2
292670,MIDSTATES INC,CO,PUBLIC WORKS - PWOPS,12/22/2016,1/9/2017,232.5,"Wiper Blades, Inv#MNV0004548",Motor Vehicle Supplies and New Parts,PCARD,,1413427533800038533016122303395900000000771746    ,1
292671,AMGS DISTRIBUTING LLC,CO,PUBLIC WORKS - PWOPS,12/22/2016,1/9/2017,172,"Wiper Blades, Inv#32835",Automotive Parts and Accessories Stores,PCARD,,1413427533800038533016122303395900000000118702    ,1
292672,AMGS DISTRIBUTING LLC,CO,PUBLIC WORKS - PWOPS,12/7/2016,1/9/2017,76.1,"Wiper Blades, Inv#32822",Automotive Parts and Accessories Stores,PCARD,,1413427533800038533016120801103700000000151125    ,1
292673,BOBCAT COMMERCE CITY,CO,PARKS AND REC - PARKS,12/9/2016,1/9/2017,273.47,"wiper blade, fuel filter, air filter, hydraulic line filter, hydrualic filt",Commercial Equipment - Not Elsewhere Classified,ANNUAL BID,0298A1013,1413427533000240398916121101540000000000308555    ,2
292674,NAPA STORE 3600001,CO,PUBLIC WORKS - PWOPS,12/1/2016,1/9/2017,5.66,WIPER BLADE INV 177946,Automotive Parts and Accessories Stores,PCARD,,1413427533000304010316120400407900000000171686    ,1
292675,NAPA STORE 3600001,CO,PUBLIC WORKS - PWOPS,12/16/2016,1/9/2017,11.4,WIPER BLADE INV # 184976,Automotive Parts and Accessories Stores,PCARD,,1413427533000240429216121802587600000000467699    ,1
292676,RUSH TRK CTR DENVER,CO,PUBLIC WORKS - PWOPS,12/15/2016,1/9/2017,80.58,Wiper arms Invoice # 3004842431,"AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING",ANNUAL BID,0667A0113,1413427533000240425016121602343600000002175536    ,1
292677,US CONF OF MAYORS,DC,MAYORS OFFICE - MAYOR,12/12/2016,1/9/2017,650,WINTER MEETING MICHAEL HANCOCK,"ORGANIZATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED",PCARD,,1413427533000240595016121301796900000001165978    ,1
292678,US CONF OF MAYORS,DC,MAYORS OFFICE - MAYOR,12/2/2016,1/9/2017,650,WINTER MEETING EMILY HAUBER,"ORGANIZATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED",PCARD,,1413427533000240595016120400407900000001991970    ,1
292679,US CONF OF MAYORS,DC,MAYORS OFFICE - MAYOR,12/12/2016,1/9/2017,650,winter meeting barry burch jr,"ORGANIZATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED",PCARD,,1413427533000240595016121301796900000001165974    ,1
292680,DENVER ATHLETIC SUPPLY,CO,PARKS AND REC - PARKS,12/20/2016,1/9/2017,218.75,winter hats,Sporting Goods Stores,ANNUAL BID,0606A0113,1413427533000241850816122103028900000001592120    ,1
292681,AMAZON MKTPLACE PMTS,WA,ENVIRONMENTAL HEALTH - ENVHL,12/5/2016,1/9/2017,35.44,Winter Gloves for Field Duties,Book Stores,PCARD,,1413427533000242616216120600742500000000260671    ,1
292682,PARTY CITY,CO,PARKS AND REC - PARKS,12/7/2016,1/9/2017,74.66,"winter formal supplies, snowflake, lights, streamers, tea lights",Miscellaneous and Specialty Retail Stores,PCARD,,1413427533000240377316120901288600000000965357    ,1
292683,INSIGHT AUTO GLASS,CO,PUBLIC WORKS - PWOPS,12/16/2016,1/9/2017,138.74,WINSHIELD REPAIR UNIT BR77 W/O 9988911 INVOICE 163355,Automotive Service Shops (Non-Dealer),ANNUAL BID,5962S0115,DEF1635414931855                                  ,2
292684,INSIGHT AUTO GLASS,CO,PUBLIC WORKS - PWOPS,12/16/2016,1/9/2017,138.74,WINSHIELD REPAIR UNIT BR58 W/O 9989157 INVOICE 163341,Automotive Service Shops (Non-Dealer),ANNUAL BID,5962S0115,DEF1635414931853                                  ,2
292685,INSIGHT AUTO GLASS,CO,PUBLIC WORKS - PWOPS,12/16/2016,1/9/2017,138.74,WINSHIELD REPAIR UNIT BR56 W/O 9988951 INVOICE 163428,Automotive Service Shops (Non-Dealer),ANNUAL BID,5962S0115,DEF1635414931854                                  ,2
292686,INSIGHT AUTO GLASS,CO,PUBLIC WORKS - PWOPS,12/14/2016,1/9/2017,175.14,WINSHIELD REPAIR UNIT AL2 W/O 9988978 INVOICE 163376,Automotive Service Shops (Non-Dealer),ANNUAL BID,5962S0115,DEF1635014418306                                  ,2
292687,JAKES FOOD & SPIRITS,CO,MAYORS OFFICE - MAYOR,12/7/2016,1/9/2017,315,"WINGS, QUESADILLAS, FRIES, TOTS, CHIPS AND SALSA","Eating Places, Restaurants",PCARD,,DEF1634414315697                                  ,1
292688,INSIGHT AUTO GLASS,CO,PUBLIC WORKS - PWOPS,12/21/2016,1/9/2017,180.55,Windshield replacement Invoice #163819,Automotive Service Shops (Non-Dealer),ANNUAL BID,5962S0115,DEF1635713911549                                  ,3
292689,INSIGHT AUTO GLASS,CO,PUBLIC WORKS - PWOPS,12/1/2016,1/9/2017,209.31,Windshield replacement Invoice # 162630,Automotive Service Shops (Non-Dealer),ANNUAL BID,5962S0115,1413427533000240425016120200234900000001193953    ,1
292690,PREMIUM AUTO GLASS INC,CO,SHERIFF DEPARTMENT - SHERF,12/14/2016,1/9/2017,163.12,windshield replacement,Automotive Service Shops (Non-Dealer),PCARD,,1413427533800031377916121602343600000001151256    ,1
292691,INSIGHT AUTO GLASS,CO,PUBLIC WORKS - PWOPS,12/21/2016,1/9/2017,145,Windshield Invoice # 163820,Automotive Service Shops (Non-Dealer),ANNUAL BID,5962S0115,DEF1635713911550                                  ,1
292692,VISION CHEMICAL SYSTEMS,CO,PUBLIC WORKS - PWOPS,12/13/2016,1/9/2017,652,windsheild wash i80 2090754-in,Chemicals and Allied Products - Not Elsewhere Classified,PCARD,,1413427533000311553316121401979600000001306910    ,2
292693,INSIGHT AUTO GLASS,CO,PUBLIC WORKS - PWOPS,12/2/2016,1/9/2017,209.31,WINDSHEILD FOR CV1  162630,Automotive Service Shops (Non-Dealer),ANNUAL BID,5962S0115,DEF1634014968875                                  ,2
292694,IDU INSIGHT PUBLIC SEC,AZ,PUBLIC WORKS - PWOPS,12/2/2016,1/9/2017,723.5,WIndows Licenses TMC-Bobo,Computer Software Stores,PCARD,,1413427533000307982016120400407900000000070069    ,1
292695,WW GRAINGER,PA,PUBLIC WORKS - PWOPS,11/28/2016,1/9/2017,124.3,Window Washing Buckets,Industrial Supplies - Not Elsewhere Classified,ANNUAL BID,583650211,1413427533000287533516112904126900000001433332    ,1
292696,VISION CHEMICAL SYSTEMS,CO,PUBLIC WORKS - PWOPS,11/28/2016,1/9/2017,500.5,Window washer fluid,Chemicals and Allied Products - Not Elsewhere Classified,PCARD,,1413427533000287533516112904126900000000951763    ,2
